DOC_ID,CENTRE,STATUS,TYPE,PLACE_ID,LOCATION,DATE
0DpKJB4RF2d3yhhUD8xe,Foot POWER 5,played,pro,,48.960066&2.2061913,2023-09-16T10:00:00.000Z
0DpWUgoEAzVtekPGJ80g,UrbanSoccer La Défense,canceled,captain,ChIJh4rnfVhk5kcRV2Q-ZKdm8vA,48.8996456&2.2216773,2024-01-03T11:00:00.000Z
0DxCXTr0GkqdLCFL9q9s,UrbanSoccer - Lille Lezennes,played,captain,ChIJR3ro5nTWwkcRfM_S3Be9HjI,50.6169533&3.0995426,2023-12-30T18:00:00.000Z
0E77UyEl2vedpZcqG9Uq,Gymnase Japy,canceled,captain,ChIJjSwEGPZt5kcRwOzDxHPp9SQ,48.855835&2.3820976,2024-02-21T11:00:00.000Z
0EUq7aKrcxHGNaE5biJZ,Evolution Football,played,captain,ChIJX0YulIi8yRIRnGh62u3UXTQ,43.2836074&5.52356,2023-12-11T20:30:00.000Z
0EZIYlUXVUXB6Y8YjO3y,Monclub Futbol,played,captain,ChIJGbxxaamUyRIRgGvhHnhJStA,43.4299152&5.4001974,2023-10-25T19:00:00.000Z
0EbyFa7uBdJSGNiWMMI1,UrbanSoccer - Quai d'Ivry,canceled,captain,ChIJfXxYJ0xy5kcRw9xTkF6-FZQ,48.8199815&2.3936307,2023-10-08T13:30:00.000Z
0EhRNUdGVNoS4vmHR3Hr,Play Soccer,played,captain,ChIJQ-UxZn-5rhIRKWoQydM5T9s,43.5512023&1.4098927,2023-10-24T18:00:00.000Z
0EnNBiXbFPUU3Cn0Y6B2,Play Soccer,played,captain,,43.5512023&1.4098927,2023-09-07T16:30:00.000Z
0ErIw8YEoWQsGTsDyEey,UrbanSoccer - Puteaux,played,captain,ChIJM_sC0-Nk5kcRhL1y_EFIje8,48.8836397&2.2312283,2023-09-28T10:00:00.000Z
0Ev4SGuNkbAInRIHyALh,Top Ten,published,pro,,48.8729106&2.6840919,2023-11-16T22:00:00.000Z
0EwKRW03i3sJdiIqh9HN,UrbanSoccer - Marne-La-Vallée,canceled,captain,ChIJ6bDBiosP5kcROXiloHzSdhc,48.82658600000001&2.6296937,2023-10-01T07:00:00.000Z
0F1hINcAPYLyA0Ti76Dw,Stadium Thiais,published,pro,,48.7511024&2.3713455,2023-11-03T16:30:00.000Z
0F2QttKLhc0PImskn1dF,Stade Frères Nouali.,published,captain,ChIJBx8zKDXzeA0RX_Z8eLNf2Yg,34.8504865&-1.7316045,2023-11-29T16:00:00.000Z
0FEQfPCLdRNmCoOBLOD5,La Plaine des Sports - Université Paris-Saclay,canceled,captain,ChIJv4ZkWb5_5kcRkQ23aJHNq24,48.71200899999999&2.1560772,2024-02-11T14:00:00.000Z
0FJTEyKf3TUKuKhs3M4h,Footsal,played,captain,ChIJa7HS298pw0cRMoVDj0XqVdI,50.6397895&3.1251337,2024-01-11T19:00:00.000Z
0FKGm2akrTc7C5aaSCmL,Stadium Thiais,published,pro,,48.7511024&2.3713455,2023-11-08T14:00:00.000Z
0FU8a6hPu2oVdP2Us6iV,BIG5,canceled,captain,,48.9901429&2.3617895,2023-09-13T17:30:00.000Z
0Fu2MtqlMo1gZ5G2klkF,UrbanSoccer - Porte d'Aubervilliers,played,captain,ChIJ0dXjDCZs5kcRvX0EpMwxsUY,48.9074912&2.3746518,2023-12-03T14:45:00.000Z
0FuNcNN1R4kASiEXx7qi,LE FIVE Créteil,published,pro,,48.7643086&2.4706522,2023-11-18T14:30:00.000Z
0GFsepnl0Pu1nUGZmoiT,LE FIVE Paris 13,published,pro,,48.8181615&2.3658793,2023-10-17T21:00:00.000Z
0GHN4RAgK2f9eaINmOT5,Stade Olympique Yves du Manoir,canceled,captain,ChIJYeUIntpl5kcRZsN35flVVAY,48.9292771&2.2477717,2023-12-31T14:00:00.000Z
0GNizgs9iPSDgiYb6rN5,Foot POWER 5,published,pro,,48.960066&2.2061913,2023-10-24T20:30:00.000Z
0GRmX1q6KptyH32yTFdT,UrbanSoccer - Lille Bondues,played,captain,ChIJ58ZerMgrw0cR2Jyp7tZjBn4,50.6913774&3.0860264,2023-10-31T19:30:00.000Z
0GYMyfTLBkWUK0wq88Sp,Le 13 - Foot en salle - Marseille,canceled,captain,ChIJR62kUm_ByRIRDnGQqGCeUVQ,43.33370070000001&5.370389599999999,2023-09-27T18:00:00.000Z
0Gaqc3qERngNlbeuULeL,Foot-Max Argenteuil,published,pro,,48.9501632&2.2093946,2023-09-12T17:00:00.000Z
0Gng63Jo4lWk79qXzxak,Complexe sportif Arrighi - Stade - Gymnase - Tennis,played,captain,ChIJdY7UfIRz5kcRyDIR404fW5A,48.7830911&2.3989573,2024-02-15T19:00:00.000Z
0GwlfUBfosR1Lkh54RSV,LE FIVE Paris 18,played,pro,,48.8978522&2.3700234,2024-01-08T16:00:00.000Z
0H9cmZrw3CHBvVPLUGKu,Stadium Thiais,published,pro,,48.7511024&2.3713455,2024-01-23T14:00:00.000Z
0HGis57V7Qt0MpCaH1uJ,UrbanSoccer La Défense,played,captain,,48.8996456&2.2216773,2023-09-16T10:30:00.000Z
0HYYaFddLdK15GZBWWPs,Parc Sainte Barbe,played,captain,ChIJtw301r5w5kcRvRjidiuAyaw,48.7922897&2.2913469,2024-02-01T12:00:00.000Z
0HeV9k5g1VYim84I2mqD,UrbanSoccer - Quai d'Ivry,played,captain,ChIJfXxYJ0xy5kcRw9xTkF6-FZQ,48.8199815&2.3936307,2023-09-25T18:30:00.000Z
0Hueedisg5QbS6Lqv688,Stadium Thiais,published,pro,,48.7511024&2.3713455,2023-09-11T15:30:00.000Z
0I4TjjikGbvSgbYl8xsW,FIVE ARENA MEAUX ,published,pro,ChIJ02bKSuih6EcRb796CXVbkVs,48.9539465&2.9154573,2023-10-07T19:00:00.000Z
0IOD7cB4KfptcMlUeyp1,LE FIVE Bobigny,played,captain,ChIJV8UONORs5kcRXxR5Qd7x130,48.901553&2.4313304,2023-10-27T17:00:00.000Z
0IVupNKhxoNpgLORHw1G,UrbanSoccer - Lille Bondues,draft,captain,ChIJ58ZerMgrw0cR2Jyp7tZjBn4,50.6913774&3.0860264,2023-11-12T20:00:00.000Z
0IXEJfjBJe4WdJtNSJR6,Game 13 foot indoor,canceled,captain,ChIJNSDvlsXryRIRUXao9hwB79I,43.41258939999999&5.366617,2024-01-14T19:30:00.000Z
0IdWKtGl31brXm3zdrXC,Massilia Foot Indoor 2,canceled,captain,ChIJxZ6UmMW-yRIRfYNGGPPJfIU,43.3266563&5.3836488,2024-02-16T20:00:00.000Z
0Iw4TmfrCmDNn5ZZ7xf0,Stadium Thiais,played,captain,ChIJ64X9jzx05kcRsHvSfOv6UcA,48.7511137&2.3715422,2024-02-20T16:00:00.000Z
0IwIFfWiUtbOFHP7NXeg,LE FIVE Villette,played,captain,ChIJTUFnQjps5kcR0pHITLTw1PI,48.9070122&2.3861459,2023-12-05T10:00:00.000Z
0JJR1R9Iq5BPCSmDvIHA,UrbanSoccer - Porte d'Aubervilliers,canceled,captain,ChIJ0dXjDCZs5kcRvX0EpMwxsUY,48.9074912&2.3746518,2023-12-08T19:30:00.000Z
0JLl6YWydBCgCC5hUna4,UrbanSoccer La Défense,played,captain,ChIJh4rnfVhk5kcRV2Q-ZKdm8vA,48.8996456&2.2216773,2024-01-31T19:45:00.000Z
0JTBary3GWJ6icOtvFyb,Boucherie de la Cité-Jardin | Artisan boucher Suresnes | Viande française,published,captain,ChIJDYMep7Zk5kcRQbnAMTyffGI,48.86364409999999&2.2054938,2023-10-10T09:00:00.000Z
0JeVkIRcoEhGQ7ZK67gF,Stade Jean Jaurès,canceled,captain,ChIJZeiwsidk5kcRfr4JxmBG86s,48.9370177&2.2250254,2024-01-25T12:00:00.000Z
0Jj01IOrljBPcSqKCqid,LE FIVE Paris 18,published,captain,ChIJpVT4_n1u5kcRzji6FdTBXXo,48.8978522&2.3700234,2023-09-21T09:30:00.000Z
0JoUST6TFeSLW3w3k9wz,Skatepark Charonne,canceled,captain,ChIJvbbfRvVt5kcRPabtcgU9cOk,48.85615199999999&2.3884234,2023-12-29T09:00:00.000Z
0JyUzVjWA1t5fN7EUc2g,UrbanSoccer - Quai d'Ivry,played,captain,ChIJfXxYJ0xy5kcRw9xTkF6-FZQ,48.8199815&2.3936307,2023-10-16T15:45:00.000Z
0K5TlOytHdjiZxVnBAmj,LE FIVE Paris 18,canceled,captain,ChIJpVT4_n1u5kcRzji6FdTBXXo,48.8978522&2.3700234,2023-11-21T19:00:00.000Z
0KSvMxcKejJRl39NjmzS,Stade de Foot André Robert,canceled,captain,,48.875595&2.7515223,2023-09-14T19:00:00.000Z
0KWLINTpYbTmKlLUIeyX,UrbanSoccer - Puteaux,played,captain,ChIJM_sC0-Nk5kcRhL1y_EFIje8,48.8836397&2.2312283,2024-01-25T11:00:00.000Z
0KbqL7LOTVvtScaCWVJd,Foot POWER 5,published,pro,,48.960066&2.2061913,2023-09-17T07:00:00.000Z
0KcirT4hcFZIuuyTcfSk,Parc Interdépartemental des Sports du Tremblay,canceled,captain,ChIJBVkfrQ4N5kcRGi-XnNQN_yo,48.8281085&2.491365,2023-10-07T14:45:00.000Z
0KdVGZV1jSWm23pw5UHC,Z5 Aix,played,captain,ChIJKb-U_9KSyRIRKIFKbH5mW18,43.4787869&5.3969048,2024-02-04T18:00:00.000Z
0KvYCj7yxFLyICm1gnMw,Z5 Aix,played,captain,ChIJKb-U_9KSyRIRKIFKbH5mW18,43.4787869&5.3969048,2023-12-11T20:30:00.000Z
