user_id,role
NJiSlBGxdJTx2KXvgJpzNkZpfQm2,
NM57DQrVtxZqykZjLAgeLXKPQix1,
NRBwAV6li8P9Dw6sb3LIq55tjPF3,player
NTn6CVkS1gdLG03lLrgJLCYq2Ig2,player
Nedk4Yp0pbRlJL9yvxFzB1gso5p1,player
NeyKg9NFXpQEDxdHCbsCZnaL4nE3,player
Nqth7x7UqCNZLe0XJIryiaCGMTF3,
NuFTI1TFndYYdqcdHwaWD7293h23,
NxYo5aVt2TMgeSzhS3cJQudzCr12,player
O7fjFmRExDaiJ09kjdRZgPEse5E2,
O7urMBNgFaUykRsN6HqTfx91RhQ2,player
OQHAqXQCjuP3IuseuweWMiFT6DF2,player
OT18oADqRQaM2bYnK5j6FRCyz9p2,player
Off0V2qxv7gmCX7VPEqmNF4Ylnn1,
OhjBxyG02aekkbs0eCRShKQ33212,player
OjTNm0V8LWWfEgAQCOCh4zZrob23,player
OnPG4m1rNaNVwWvZMV23M1OzWK03,player
OqfC6YtN0FWFrxjE0LPkjQXgKJi2,
Or4DylE5rZfhBEhrA94xeKFEELb2,
OtT6LACvqoSQ8SnEP1nHa7T8daY2,
P3yhGuGvsDdYdb1J7qZeDxjM2Xq2,player
P6s2l4vjT5O7nSIuus2YTjy1bn73,player
PAAHU2SGbVe2ggS5iYBre7SqvAf2,
PFVr0A10MPTczaklwy7FphMDW9k1,
PRWDvdjP2kUwGSEGjUnluTIy71F2,player
PTPxfkgYLZUsIGYLzqvQXwsoFBr1,
PcFRymIrqHZCWs9wS1IfupJCrSz1,player
PqaFW2anNkUryRhofo3ZA3mmTn23,
PwTVVmAHTDQJf2fBeiPqGBH8GCv1,
QPNA4WVJ38hLSylooXYE5XJ4JNo2,player
QPqaMvgPKyTFZSaHmB3bBnKuqXs1,player
QQuBzwdFz9f0wzhciuO5gnoFFBk1,
QRiFaIkKcffI2CymLyzVuUy0TWk1,
QYbO06eQX6fS8g0F0SVGMwjTiui2,player
QbMFcXujquT0unZEK8DARISTcHU2,player
QkQFLvLwKKYwKSBxxKvVJn7wPLg1,player
R43JG1cNCof3PEUEjcaFgXxH1nA3,
R6JrxqTuQdNDAkTOTkOgn554GxB3,
R75cWe7ltYMFahWDosunfQVX31Z2,player
R8zMl7MJmKNt4l38sEJT6kyDIZG3,
RA5fKULX9zaIQBuPHxqWO35nhHr2,player
RDO59ClsjdTXXzZsNP5uYiP56nl2,player
RHDUtsBl1UhKkWO0Sc7ARYdzPdt2,
RKjvsyDvD3h85iteOJvPLMTyB472,player
RUEZjkJeWyXacaebis5TDkWIGEy2,
RWgA5pTZGlM6BtMrYmlZ8p7Cfh53,player
Rkgc4Zbeu5OFOSYeLCZIoV4BBFh1,
Rn187rNqqIQ1QaNHQZsSc3us7w23,player
Ro2iLAnJAOSoPDrf88mCAowdZow2,
RyZIgK6OKsNh5mNWpUqRrCLtKg62,player
S2agk35mibS7Whq0RdfKPbrgSPN2,
S5u0D0iBhQeefDVlLhvaQT7Gbmt1,
SO4iZgr3DKbwQvj3hHGWeJlr6702,player
SQYhl4kqhkVIQAKguOgCMKhw8Eh1,
SQex1Nv03BWMzHvcZs0hSo5UNtM2,player
SUb2MdRlFIh12tOuYs3hk3bAgQX2,
SViOrkB5JmTKZCgUNHpQIxKhTxB3,
SXPNrn2nQuhvhexrAZTivl2CJ5K2,
ShDhZDvmuiQPSolS5UierW2ENXj1,player
SqkQrW21pjgUPg9vYJoh10gvLPV2,captain
SuFHry30S3PMMCsvTPN3OYz3cn72,
SvxxvEBykdgmb4Uv96EAZGnkpGk2,player
T0HbZLHBa9eJbD9dNhI8U7TQMzs1,player
T3cuIdUGfjNcqjki91NtfGWdBXW2,player
T7q3t506TjWULBwVpsd7eFgBdIj2,
TAqznOOokhdVhjhq0QwGTbWdGss2,
TGSGlsiGDZQ7xGGwHId9ky5SI8r2,player
TL15QszHMjQnyDW57pt7MPrSAof2,
TR6fvYPUgsbYZtwzAU6bmnoBP1l2,player
TfZurWEHkif4Rg5XhnMeRmQu2wk1,
TgRX52D7zsh7ra6CYw8myLCErX83,
ThtwXFtYs1T0rk2jCNV043Jba6P2,player
TsBJ7d1IvPgzIsxN7oUf64bOSFc2,player
TsRlRU2kAMMfpkuMaAyaciRnNS13,
TsndLIePJLRU0Os2TRJk6ZYhAD32,player
TtTaeSQjKvXKTbeFRlZ2CkMFVEq2,
Tu8zjPV7ezWjhxn9TpWs5UmUJ2w1,
TuC7Tn01FIZVHEvTy56fRcRL2iG2,player
TznOwppgT1QX8aZX9jBTmdmkaSB2,player
UA1CqiK2twMIjZuPGHTyLZzURoI2,player
UB7ZbU2FsvMXDrmUvNh3DTZ7Jji2,captain
UHbqQIG3s5gtegcugl18kQ1IKmb2,player
ULHpFoxXGhb0yUO0wre104YA4rF3,player
URQagZqKKtXArn3BfwBWVdhW01w1,player
UVZC4xtFLOc0fGAKq8fbQ3pJg712,player
UbYU84mSt6aDOtpY6D1LFhukI1Z2,player
UeqdQaJwuzePUPrv0nY0a6OVuBj2,player
Utk5fniBl5QN71iKaOt23N2aI8I3,player
UyVFm759WHSDKbaBZdewPfiES8k1,player
V16sIRNtqCMqyvq9qNMRWI6FHwA2,player
V2xeXmubTVT2ItpArDPSXG3Gvan2,
V5BOcBvFxWaFHvecOCmWECJyDCq2,player
V6yumgx6VYNhl0rtdyEqpQCwxuD2,player
V9EvsWDE1FfsGE8ZwriJzDHOvBs2,player
VE5Y3g93HfdL86SfjtiioTSZxdD2,
VGTzx66qzkTuRYBFKrw28z0wVQ23,player
VIb1hFRxPlNVdszerxcoPveFcV73,
VJkoQtKBL5RvQMxPTkUrSMwKhXx1,player
VfKo17XpRQdWwLyd6DwchBT8p0f2,captain
ViBS3oI5TiUzLgNJwdzevDzsC8m2,player
Voy3nc3lhccizX9VjpXW8aACj4C3,
VuakqkbcVefa3Hb7ak9no2bX1Yl1,player
VzdY9cc2o4Zkq0CzsS7v29jvtpu1,
W0kRxUDJT5cEDHgWZuCHxEjYljT2,
W2Z6znD8TONr7oSnrTsGDZXpqUo2,
W73HgpaO2dWO2DHrpFXIMQUz2SW2,player
WDQrR2QV4sgRvNDL5tXbL5Pn8tS2,
WF4mLu8zMYaRi4fy74a2Ljq4a5G3,
WPRm4564eyWrxvYB29knSsixDlE3,player
WjrSCbyPh6Nar4dlnJU7fiqgI693,player
Wkv6n0uQGTdxqkz9meqm136fIDW2,
WlHKDZv7KISiL9QcusdHbSw74jD2,player
Wp4EkVV7frbOj20wEiBnU15fBG92,player
Ws626cSYelU4F16xdN8OzX0avIY2,
WspeYvx1a7eT5Ir0upQfoNBYDse2,captain
X8xh0EKzIuMzkCg61Bfb397aIAN2,player
XM4srvKcUGcWsdWOJdxReTwQsem1,player
XUWFZvHbsMZFUYoQtokjP6G3fbU2,player
XbRpy2EUDGS8rsDSzEirbll5bYD2,player
Xc97g8f7LnPzW2Tzbx9oI8oS0wK2,player
XddTVLGrfxTwEGoEav5Fldm9LHw2,
Xkyh0uCakYXchufmDL0AdVHttBH3,
Xr2HqPqTIDecuDj27nLXbBIIw7E2,player
Y2XuaaXDOvMvOZQhsAGanHKFoJk2,
Y51nbjCToSeVTnpj6nLQ6c8EBtr2,
Y59VA0EbFeNEqx7Tj5Vrmc6NDzm2,captain
YEkMkJUkjrNKSJB1fJmg5fhZ07y1,player
YIaY8VAFCLSTITFvJ3md5B5XG183,player
YJrIDRJiTxfxQ2uN2EWIhwz7jXF2,
YJuKPQJ2mjMYgj1OmgDsmXCSTyt1,player
YKloWKdfNeQlLKCAMeMCF8NGLYh1,
YNE708lNE2d1QLcjF57xscBxnx42,player
Z4MSzHuuskbNpb830tgEOeIDwx62,player
Z7xNPwQvupPg4wSfV1z9i6ebLIG3,
ZBjnezrQAcZr9cqwsbECynPrKAl1,player
ZF62Cw8VM7MLiHQXLADFwDRpioz1,
ZGWaxR41eeWvqOsAVEKwYMCfQto2,
ZPP7XcDe94UBHVUcn8rt2IrWvKf2,player
ZQbgD2RAJeVh2CoXFthFl8QA7uF2,player
ZS9rhbpHQ0XHvU02dDHHYM1RUkC2,player
ZblODzQqNzceeSSeL3DaqSmHjKS2,player
ZcsPUuukDLcmAfCFjCOOyAGCdti2,player
Zf1n2hZRoiMWw4AOy11wMmilv8b2,player
Zkz9gp99ziRWPWEDcXvGhrYbpLy1,
ZnwYiVEPeRWD2HWXn0p6PQdMLvI2,player
ZweioZ1d3yP2kN8eZGQR9QyVUId2,
aGmTiVrewhW1LBD3hKD8fjtqcOA2,
aIr2wULcCRQBYGKMjgV7Rmuyqf53,
aJzu71zwJTh1VZpegSCU8Jpwr6Q2,
aSrignPGTzVGEzZvOoGrsulGwZx2,
aVhCXxbMkDW0PEa4TX0Nq9O1jrz1,
aaUus5KpmaOA9VJQsL6RaXKaPxC3,
aaieMCqLWxMznzHr0pSAA5p9BOO2,player
ajG7SEfkByMZglSLT8hxRx1QczL2,player
ast8d5WqDTPobeAonmBMScbPjpo2,player
at1a1zDfD8OxzFccva8kifZ2xJs1,player
bBdnxKN0QYTxBaocsrHGbipgq3r2,
bBvijdU5B2g9mQY7m5OyzBJkOm52,
bH2KvzTosAevRQsHnlVtXAguPrr1,
bQ5xV9IkziTzCCXU1un6rPUELuk2,player
bXam5ecTA8b9cu7UOhbtLKYeAXA3,player
bztUwzw6WqeiOg5CqvwJbewZRCp1,player
c44fQpvKPbNI3kOs64OvVtp25gX2,player
c4aslVTD5BQPto7mQMVlQEGd0Pm1,player
c7sKMYek6STAwGTniEjw9bWwILD3,
cARLw5ESX3hUEx2Jts4TMVbkOBU2,player
cGhvPrAxXcNxxtyv20aVPYSYFcF3,player
cMwoRA5x3FcDrtCMZBEs6mn7j0x1,player
cVzevIQa9vMsrDwPC3TyrATCL0z1,
cYz1TflvzIRZKnZwM5ccoQSUEs22,
cb2BTfTDJyMTmrcRXYSQoKYV94r2,player
ccvhOQ0XjLdRyJJuEXj9SZu3xbz2,player
cdaJjUowiPMmeoX4zZEys5Aj67o1,
cow8f9Ew6zTTBandRJvPiSdnRBg2,
d13zh17QC7Pid8OAMrrZECciJBE2,
d22EDnuFMNRv1BkmgnMYJ7ieYTo2,player
d7PEdsWIN2eSohMtA5ARHdBifMk2,
dAxTN2lmDjaXi9thpfe8l0CrA232,player
dB8MvYY6ZehtW95VmqOSYqDlSPv2,player
dFqjXag6kaP0bLuEa7IijlGvFth1,
dkKzWnDX5gadSDhrYY9Yv7MvPRS2,player
dtzoD4CQdPfMdwlMLPSQg0uG5Tq2,player
e9N2eDAGaBXfDYwkVVb5wZE5NLj1,player
eJN93JaiDVeFLW6wo2zk8OCmaB52,
eMujzxYzfAaXV3asrQrk7EeHak02,player
eN9MTTil20OdNrexGhMo2ML7L9m1,
eOsxV6O5gnXC1BtHs991jtd2jvF3,player
ePbsr5XHriXuHdCAypLzy3qSqCN2,player
eYEq9n6nHRN2npwVfo7mFc6VNDn2,player
eh2Xi3lYOKZUGTx4x8m0glb7anD2,
eixPoyJ2TLO8sIuizl9YI6HMh7H2,player
eo7S0DavyDXtgILXpjwwB3yFQsz1,player
etywuYkRUTPLcL0vpw3kXdX5Gc72,player
f393EgAQmNP1Zhlv0JAnfyI7kCb2,player
f4wVtMYecKfApxV2HbPaT7iE7fv1,player
fSSCRM5uufgZFeyRZWUOfKPIy6E2,
fTHCuZ4pmsc6Uw7QVwbR00fAVwl2,player
ff1dedzCJaRPxOQbrszr25n7em82,player
ffN7rTsvSWhnd7lBiXyYYPiuvCl2,player
fje6UGNLlgM1Ctpj02Eb5jqHJ8o1,player
fo2h54Q0ASSp83fgl3kaAE132Iw1,player
fpCZzXdVdWfgnGASqRRo0HjbCtg2,player
fpE88N7TipTLSffJOpdgWigJuRG2,
fqPh0gGnIIU9MQU8x9263GJ7DxP2,player
frusZKy4T4fkUbtMKrlLnEQraE42,player
g6Txbt4lXYUnooiSpqFpmbIhcFF3,
gKFZB20ghyeaVvBAG5oazxG5db03,
gMk1y8NOd2MeQ3vQ9yG90visY9j1,
gMpMFIJYrvX2YRLAdjVTozNkAMX2,
gVL1YVwPjXVmEijnTvPVZRh0Z8S2,captain
gViWHA03F8SQTEZIpGhzQYHuuo42,
gX8waq5670N24hAGIR70EVwaDbq1,player
gcnaQNGU2JdzRHPwXTTsndhTDTp2,player
gdsM9CiTUPXTo9ykhV1wmbBZU8O2,player
gufjG4U8b3faBbhvjMzTDCGQKGh2,
gvV0Ee5mUYarf6JptGHs8iRXc9p2,player
h4A1RBg46zRyF4eQdeBzb85N2HI2,
h6alKixfUFPmaz31NUGPzkfDvYp1,
h7PfMizn4UgLA9NDedjEabajZD83,player
hOOljjHQ58XmMZ5GJea48KsizSc2,
hSRhMvgQZWhgo8pEjoBxscBTZy03,player
hV6QTpi34id8YAU3GhAjjLT23wU2,
hWn69elnvnbLR7yKQEfU4zaNg3j1,
haSNzLj89Dh6bkIuc0DxzLe7lDn2,player
hhhwmSi2OKezyLKNz8W5F3SO3uf1,player
hq3naRmr7uOjJR3dq2tOi3Yu0ZK2,player
