CENTRE,TOTAL,PUBLISHED,PLAYED,CANCELED,HIDDEN,ORGANISATEURS_UNIQUES,GOLD_EXCLUSIVE_TRUE,GOLD_EXCLUSIVE_FALSE
Mondial Soccer Martigues,5,0,0,5,0,3,0,5
Stade Géo André,5,0,3,2,0,2,0,5
UrbanSoccer Bordeaux-Pessac,5,1,0,4,0,5,5,0
UrbanSoccer - Angers,5,2,0,3,0,3,5,0
TEP Reverdy,5,0,3,2,0,3,0,5
Créteil Palais Futsal,5,1,2,2,0,1,0,5
Kaiser Park,5,0,4,1,0,3,0,5
Stade Joanny Dufresse,5,0,3,2,0,1,0,5
31 Rue Jules Michelet Garage,5,3,1,1,0,2,0,5
Complexe sportif Franc Moisin,5,0,3,2,0,4,0,5
"Finest Feet, Foot care, Training Academy & Wellness Centre",5,0,5,0,0,1,0,5
Le B3 Soccer - Club de l’Arbois,5,1,0,4,0,2,0,5
UrbanPadel - Club de Padel Marseille La Valentine,5,1,2,2,0,2,2,3
Stade de foot du charrel,5,1,3,1,0,1,0,5
Massy ACADEMY,5,5,0,0,0,1,0,5
Gymnase Auguste-Delaune,5,1,0,4,0,2,0,5
Factory Sport Games,5,2,3,0,0,3,0,5
Complexe Sportif André Roche,5,3,2,0,0,1,0,5
Football Elan Chevilly Larue,5,0,4,1,0,1,0,5
Complexe Sportif Venise Gosnat,5,0,3,2,0,1,0,5
Gymnase de la Butte,5,0,5,0,0,1,0,5
Stade Jean Guimier,5,1,0,4,0,2,0,5
Stade Bernard Lama,5,3,0,2,0,1,0,5
Université Paris Cité - UFR STAPS,5,2,1,2,0,1,0,5
Le City,4,1,3,0,0,1,0,4
Complexe Sportif du Moulon,4,0,0,4,0,2,0,4
Espace Sportif Édouard Pailleron,4,2,1,1,0,2,0,4
FOOT IN FIVE,4,1,0,3,0,4,4,0
Maison de Santé Lamy.,4,4,0,0,0,1,0,4
Gresillons-Félix Eboue,4,0,3,1,0,1,0,4
Stade du Landy - Marie Houdré,4,2,1,1,0,3,0,4
