DOC_ID,CENTRE,STATUS,PLACE_ID,LOCATION,DATE
0HGis57V7Qt0MpCaH1uJ,UrbanSoccer La Défense,played,,48.8996456&2.2216773,2023-09-16T10:30:00.000Z
0HeV9k5g1VYim84I2mqD,UrbanSoccer - Quai d'Ivry,played,ChIJfXxYJ0xy5kcRw9xTkF6-FZQ,48.8199815&2.3936307,2023-09-25T18:30:00.000Z
0Hueedisg5QbS6Lqv688,Stadium Thiais,published,,48.7511024&2.3713455,2023-09-11T15:30:00.000Z
0I4TjjikGbvSgbYl8xsW,FIVE ARENA MEAUX ,published,ChIJ02bKSuih6EcRb796CXVbkVs,48.9539465&2.9154573,2023-10-07T19:00:00.000Z
0IOD7cB4KfptcMlUeyp1,LE FIVE Bobigny,played,ChIJV8UONORs5kcRXxR5Qd7x130,48.901553&2.4313304,2023-10-27T17:00:00.000Z
0IVupNKhxoNpgLORHw1G,UrbanSoccer - Lille Bondues,draft,ChIJ58ZerMgrw0cR2Jyp7tZjBn4,50.6913774&3.0860264,2023-11-12T20:00:00.000Z
0IXEJfjBJe4WdJtNSJR6,Game 13 foot indoor,canceled,ChIJNSDvlsXryRIRUXao9hwB79I,43.41258939999999&5.366617,2024-01-14T19:30:00.000Z
0IwIFfWiUtbOFHP7NXeg,LE FIVE Villette,played,ChIJTUFnQjps5kcR0pHITLTw1PI,48.9070122&2.3861459,2023-12-05T10:00:00.000Z
0JJR1R9Iq5BPCSmDvIHA,UrbanSoccer - Porte d'Aubervilliers,canceled,ChIJ0dXjDCZs5kcRvX0EpMwxsUY,48.9074912&2.3746518,2023-12-08T19:30:00.000Z
0JTBary3GWJ6icOtvFyb,Boucherie de la Cité-Jardin | Artisan boucher Suresnes | Viande française,published,ChIJDYMep7Zk5kcRQbnAMTyffGI,48.86364409999999&2.2054938,2023-10-10T09:00:00.000Z
0JcPUyx5nBkx57GGNYYr,Play Soccer,draft,ChIJQ-UxZn-5rhIRKWoQydM5T9s,43.5512023&1.4098927,
0JeVkIRcoEhGQ7ZK67gF,Stade Jean Jaurès,canceled,ChIJZeiwsidk5kcRfr4JxmBG86s,48.9370177&2.2250254,2024-01-25T12:00:00.000Z
0Jj01IOrljBPcSqKCqid,LE FIVE Paris 18,published,ChIJpVT4_n1u5kcRzji6FdTBXXo,48.8978522&2.3700234,2023-09-21T09:30:00.000Z
0JoUST6TFeSLW3w3k9wz,Skatepark Charonne,canceled,ChIJvbbfRvVt5kcRPabtcgU9cOk,48.85615199999999&2.3884234,2023-12-29T09:00:00.000Z
0JyUzVjWA1t5fN7EUc2g,UrbanSoccer - Quai d'Ivry,played,ChIJfXxYJ0xy5kcRw9xTkF6-FZQ,48.8199815&2.3936307,2023-10-16T15:45:00.000Z
0K5TlOytHdjiZxVnBAmj,LE FIVE Paris 18,canceled,ChIJpVT4_n1u5kcRzji6FdTBXXo,48.8978522&2.3700234,2023-11-21T19:00:00.000Z
0KSvMxcKejJRl39NjmzS,Stade de Foot André Robert,canceled,,48.875595&2.7515223,2023-09-14T19:00:00.000Z
0KWLINTpYbTmKlLUIeyX,UrbanSoccer - Puteaux,played,ChIJM_sC0-Nk5kcRhL1y_EFIje8,48.8836397&2.2312283,2024-01-25T11:00:00.000Z
0KbqL7LOTVvtScaCWVJd,Foot POWER 5,published,,48.960066&2.2061913,2023-09-17T07:00:00.000Z
0KcirT4hcFZIuuyTcfSk,Parc Interdépartemental des Sports du Tremblay,canceled,ChIJBVkfrQ4N5kcRGi-XnNQN_yo,48.8281085&2.491365,2023-10-07T14:45:00.000Z
0KvYCj7yxFLyICm1gnMw,Z5 Aix,played,ChIJKb-U_9KSyRIRKIFKbH5mW18,43.4787869&5.3969048,2023-12-11T20:30:00.000Z
0LAZVswKNPdnE1AHSuCm,LE FIVE Villette,played,,48.9070122&2.3861459,2023-09-06T16:00:00.000Z
0LFsWaDrJxXniI3yIMWn,LE FIVE Marville - La Courneuve,canceled,ChIJ2dHdMZxr5kcR0aKYHYsp0pY,48.9364404&2.3869147,2023-12-05T18:30:00.000Z
0LMenhmAy2eeSQoGY0Hu,Z5 Aix,played,ChIJKb-U_9KSyRIRKIFKbH5mW18,43.4787869&5.3969048,2023-11-09T17:30:00.000Z
0LRYIG3AL5nnWe3NDPWv,UrbanSoccer - Quai d'Ivry,played,ChIJfXxYJ0xy5kcRw9xTkF6-FZQ,48.8199885&2.3936463,2024-01-05T20:30:00.000Z
0LnHJfPIlmH0teOqKYgF,Arena 5,published,ChIJE8mb-Dow4EcRP3o5L88W8y4,49.5003798&0.1900191,2023-11-22T18:00:00.000Z
