CREATED;TIMES;USER;WEEKDAYS;PLACES
19/03/2024;18:30 19:00 19:30;1IOyCjk9dUAmSD4ZtnXp;1 2 3 4 5;UrbanSoccer Evry-ChIJW0Ut1G7e5UcRt621n2fRQ5M LE PARK Servon-ChIJMU8gErUJ5kcRSnpvacKwFtM B14 - Sports et Loisirs Indoor-ChIJaeLKMYXe5UcRHyWJ8X8FaPA
02/02/2024;13:00 12:30;1IbLHkJopTaCkJ5wDIVQ;5;LE FIVE Paris 17-ChIJ7eI8sFNv5kcR5xy52Wc57NU LE FIVE Paris 18-ChIJPVT4_n1u5kcRzji6FdTBXXo UrbanSoccer - Porte d'Aubervilliers-ChIJ0dXjDCZs5kcRvX0EpMwxsUY UrbanSoccer - Asnières-ChIJi5LkLT9v5kcRSlhScqEFNWs
23/02/2024;9:00 9:30 10:00 10:30 11:00 11:30 12:00 12:30 13:00 13:30 14:00 14:30 15:00 15:30 16:30 16:00 17:00 17:30 18:30 19:00 20:30 19:30 18:00 21:00 20:00 21:30 23:00 22:00 22:30 23:30;1IxsaKn7oFMCpGRnsBxR;1 2 3 4 5 6 7;UrbanSoccer - Lille Lezennes-ChIJR3ro5nTWwkcRfM_S3Be9HjI Spot FUTSAL-ChIJwdUawmfVwkcRaNLo_CmNii0
23/02/2024;0,75;1JSEm3VV5yHd7YqvDDCW;3 7 6;LE FIVE Reims-ChIJad8c0qR16UcRMPDMaa34XJ8
19/03/2024;10:00 11:00 12:00 13:00 14:00 9:00 15:00;1PVenIHciKrygg2f6u97;1 2 3 4 7;Five Pizza Original - Issy les Moulineaux-ChIJ4yj4Le5x5kcRB6yo1ZhfC0I FC ISSY-ChIJpcE1CoV65kcRuwjI9KaIg6E Stade de l'Ile Billancourt-ChIJ_VzHyPZ65kcRie3KTzFg37c GPSO 92 Issy-ChIJJY_9CoV65kcRFetH1cQZUgw Cité des Sports-ChIJ70UPf6R75kcRGb3NAV9k7Ww
24/02/2024;0,791666667;1ZacEgx7QhFHzsLJkctC;2;Monclub Futbol-ChIJGbxxaamUyRIRgGvhHnhJStA
23/02/2024;0,708333333;1dQMAoiWdxbQY2ZRVepQ;5 6 7;UrbanSoccer - Quai d'Ivry-ChIJfXxYJ0xy5kcRw9xTkF6-FZQ UrbanSoccer - Porte d'Aubervilliers-ChIJ0dXjDCZs5kcRvX0EpMwxsUY LE FIVE Paris 17-ChIJ7eI8sFNv5kcR5xy52Wc57NU LE FIVE Champigny-ChIJsXi1PLYN5kcRTVVDuczgS2s
15/03/2024;12:00 12:30 13:30 13:00 14:00 14:30 15:30 15:00 16:30 16:00 17:00 17:30;1eYPI8Fhiq3XHSryJ8bY;2 1 3 4 5 6 7;UrbanSoccer Guyancourt-ChIJmdX-2c-A5kcRj1wtOS8rZmo UrbanSoccer Meudon-ChIJ0WKvjbh75kcRoqSmyWwW2jQ
04/03/2024;16:00 16:30 17:00 17:30 18:00;1k42nNKWRU4uoR5mT7YB;6;LE FIVE Paris 18-ChIJPVT4_n1u5kcRzji6FdTBXXo LE FIVE Paris 17-ChIJ7eI8sFNv5kcR5xy52Wc57NU
14/03/2024;18:30 19:00 19:30 20:30 20:00 21:00 22:00 22:30 23:00 21:30 23:30;1lFvH7J4VsrYH9622oDQ;1 3 2 5 6 4 7;UrbanSoccer Evry-ChIJW0Ut1G7e5UcRt621n2fRQ5M B14 - Sports et Loisirs Indoor-ChIJaeLKMYXe5UcRHyWJ8X8FaPA LE FIVE Morangis-ChIJA4uAhOXZ5UcRp-vZXZP-ovY LE FIVE Créteil-ChIJ88lx3VwL5kcRVxCh4lD6_Gk Stadium Thiais-ChIJ64X9jzx05kcRsHvSfOv6UcA
