DOC_ID,CENTRE,STATUS,TYPE,PLACE_ID,LOCATION,DATE,DURATION,PRICE,VISIBILITY,GOLD_EXCLUSIVE,MOOD,LEVEL,ORGANIZER,ATTENDEES,MAX_PLAYERS,GOOD_PLAYERS,LATE_PLAYERS,NO_SHOW_PLAYERS,RUDE_PLAYERS,INTERESTED
13TiHxcEow3olMlBLuPE,LE FIVE Paris 18,played,captain,ChIJpVT4_n1u5kcRzji6FdTBXXo,48.8978522&2.3700234,2024-01-27T09:30:00.000Z,90,7.5,public,true,Détente,2,W1hWIb1ezbdjDJoygsAlyQK8be93,10,10,2,0,0,0,0
16YTaToG0TNVPJgTFVXn,Stade Xavier Guillemet,published,captain,,45.78294229999999&4.8633583,2024-01-27T11:00:00.000Z,120,,public,false,Détente,3,jXOjGtfNuVe1eEPfPqux6Hjgidc2,13,16,0,0,0,0,0
16s5D7f3zwyuuNjH7cRY,Halle Georges Carpentier,played,captain,ChIJnXkSwCty5kcR-nlHXNFQlg4,48.82020139999999&2.3672361,2024-01-25T11:00:00.000Z,120,,public,false,Compétition,3,kRAf444M3RUd6EWIOWpKVKs78SI2,16,16,12,0,0,0,11
170zgAG5H9jEtTE5OZlu,LE FIVE Bobigny,published,pro,,48.901553&2.4313304,2024-02-06T17:00:00.000Z,60,8,public,false,,,4owi3i7t8EOvFNF6UQvACOpiDRy1,1,10,0,0,0,0,0
17T3T6wTwfPSXhGwRfB8,UrbanSoccer Meudon,canceled,captain,ChIJ0WKvjbh75kcRoqSmyWwW2jQ,48.80013599999999&2.2140811,2024-02-05T18:45:00.000Z,90,17.25,public,true,Détente,3,1aJ3GdfxKfcSFm478yjdpSaevVC3,9,10,0,0,0,0,0
17aiO4XCttkIRUIYreZy,Le Street Foot en Salle,published,pro,,49.0164435&2.181307,2024-02-26T14:00:00.000Z,120,10,public,false,,,bsRK7e37BkUbETMq0Tg3lbm8Fao2,0,10,0,0,0,0,0
17egcwKW21kQ9cVPIMeu,UrbanSoccer Orsay,played,captain,ChIJpZIJg7J45kcRrKWKhtbfnEQ,48.70829&2.17794,2024-02-01T19:00:00.000Z,90,17.25,public,true,Détente,3,ee1xUgZHOqeY6QdvDARYVOlrzLj2,10,10,2,0,0,0,0
19n1SBnEd9fnEk78dBlE,LE FIVE Montreuil,published,pro,,48.8613036&2.4653095,2024-02-27T12:00:00.000Z,60,7,public,false,,,u9uC1vjdcdQ3UqNxI0SiFxor0m43,0,10,0,0,0,0,0
1ARBWeRTvps1dfHU5SVH,FOOT IN FIVE,played,captain,ChIJoUR0syFp5kcRUlStnwluaYY,48.9552257&2.3328346,2024-01-23T11:00:00.000Z,90,,public,false,Compétition,1,wTNdjRT18PgdGIojrxLAm7FUsGn1,10,10,3,0,0,0,3
1B3WeuHkFvX7CLy3aHx2,UrbanSoccer La Défense,canceled,captain,ChIJh4rnfVhk5kcRV2Q-ZKdm8vA,48.8996456&2.2216773,2024-02-07T19:00:00.000Z,60,,public,true,Compétition,5,qwLeKfyzypNdQ2aGSqMaF72e8Qi1,10,10,0,0,0,0,2
1CHDFYrzrpiORYcGkWXd,Foot POWER 5,canceled,pro,,48.960066&2.2061913,2024-02-06T21:30:00.000Z,90,7,public,false,,,sss3dYi6nzWd7rEjwcQ30LGKudj1,0,10,0,0,0,0,0
1CWYYpYDHyv8HbzM6vss,Stadium Thiais,published,pro,ChIJ64X9jzx05kcRsHvSfOv6UcA,48.7511024&2.3713455,2024-01-23T20:00:00.000Z,90,15,public,false,,,psf3NmXEPwdCltHKJC7VuvJocrF3,0,10,0,0,0,0,0
