DOC_ID,MESSAGE,DATE
SxLkuE6E6mXzh8qT6P3D,Mouloudia club oujda,2024-01-05T00:57:04.485Z
T0nRmt4zPKWt3edmsohC,Al Nassr,2023-10-21T17:40:11.472Z
TIelBYqMRHkI3QIShdV4,Est,2024-01-06T12:53:26.973Z
TSRMkvz8n1cuDkPSUdbz,Espérance de Tunis ,2023-09-28T16:54:51.739Z
TapYXav8I9sIfRDD5WV1,Maroc,2023-09-13T10:23:22.494Z
TgoO4Z93RssFEw0Z5K5J,Maroc,2023-12-10T08:46:45.135Z
ThjwofO7A34EPvzfWnoM,Benfica ,2023-12-13T07:17:37.818Z
TjnL8xIlUXAHdN7sgkQG,Ock,2024-01-09T10:17:20.994Z
Tniws3fxGiOhriJzn8Py,PARIS FC,2023-10-05T15:21:44.647Z
TouI3kvcaGOm32Zh9waX,Raja de Casablanca ,2023-12-14T14:46:47.010Z
TvE5wNzyPUKRtGYYpv44,Wydad Casablanca,2023-11-15T12:08:24.522Z
UPWzwtLvcfQrbpBdSt8H,Raja Casablanca,2024-01-28T12:12:59.477Z
UjfGyW164tDUYIwzlp9w,Espérance sportive de Tunis,2023-09-07T15:34:52.326Z
VEowxahOnw63QVdSnnAJ,Paris FC,2023-12-25T11:39:10.038Z
VIE84PJVbQrughHWtti5,RedBull Salzbourg ,2023-11-17T16:15:42.495Z
VlxPKRCUyKKkqoeI9ekA,Espérance Sportive de Tunis,2023-09-11T21:52:58.185Z
VreQXtYbfvFkplOvlyhA,Club africain ,2023-10-28T23:36:09.846Z
W37H2i6UFTs5cer1vfRy,Algerie 🇩🇿,2023-08-30T17:09:59.099Z
W5Dr7aALXeysboNZjTi7,Raja Club Athletic,2023-11-05T17:14:34.502Z
WPj51yjvgRuzChcIPhfz,Wydad Casablanca,2023-11-02T18:30:52.459Z
Wlv214irAgKjfr51FRyr,Le Mans FC,2023-12-17T12:07:58.596Z
WnlKcZRUjhiBaCfzqbu1,Fc tourcoing,2023-09-10T20:48:51.293Z
WsLeDH4ABEznFBdgO6lO,FAR Rabat,2023-09-21T16:20:52.264Z
WxxIVm3ZPiuKejGoRr39,Wydad Casablanca ,2023-09-10T19:44:30.265Z
XctYMbavN6BT8InCqjKw,Maghreb de Fes ,2023-12-04T15:34:07.701Z
