DOC_ID,CENTRE,STATUS,TYPE,PLACE_ID,LOCATION,DATE,DURATION,PRICE,PRICE_UNDISCOUNTED,VISIBILITY,GOLD_EXCLUSIVE,MOOD,LEVEL,ORGANIZER,ATTENDEES,MAX_PLAYERS,GOOD_PLAYERS,LATE_PLAYERS,NO_SHOW_PLAYERS,RUDE_PLAYERS,INTERESTED,PAYMENT_TYPE
C70XRF5dX3HlqVJRRdsl,Play Soccer,canceled,captain,,43.5512023&1.4098927,2023-08-10T17:30:00.000Z,60,10,,public,false,Détente,2,ALKmZi58BQcwiVINAeCH2chkXe32,2,10,0,0,0,0,0,on-site
OKS5sotSNyrOV4SoaBpJ,Stadium Thiais,published,pro,,48.7511024&2.3713455,2023-08-10T18:00:00.000Z,90,12,,public,false,,,W3tiH1MM78QLWdHky9dhFfT2vnr2,0,10,0,0,0,0,0,on-site
p0rUSTOhXfww1iot28xp,UrbanSoccer - Lille Bondues,canceled,captain,,50.6913774&3.0860264,2023-08-10T18:00:00.000Z,60,10,,public,false,Détente,3,EDdywQ3E1LdFwznQk8nI7KAb9TD2,5,10,0,0,0,0,0,on-site
NdHhZZAo8lEjM5iKOyY7,KIPSTADIUM : Centre de Pratique dédié aux Sports Collectifs,published,captain,,50.7085083&3.1733057,2023-08-11T17:00:00.000Z,60,8,,public,false,Détente,3,mIAVAjJ4ifSuETVwUKMJkX6wZNn1,5,10,0,0,0,0,0,on-site
W25rl7jPwNF6tVm14ul0,Le 13 - Foot en salle - Marseille,published,captain,,43.33370070000001&5.370389599999999,2023-08-11T17:00:00.000Z,60,10,,public,false,Détente,2,jWIw9tP2kTRuaSE9qujuagoPVdD3,9,10,0,0,0,0,0,on-site
wCPnfY0vu7XSQK0bsgrC,Sport dans la Ville Rhône-Alpes,canceled,captain,,45.7811703&4.8081568,2023-08-11T17:00:00.000Z,60,,,public,false,Compétition,3,qkz6urrJMJeq0lUDE7LHt85b6Kk1,2,10,0,0,0,0,0,on-site
Cs0Rdvg7oEL3zb86JdfD,Stadium Thiais,published,pro,,48.7511024&2.3713455,2023-08-11T18:00:00.000Z,90,12,,public,false,,,W3tiH1MM78QLWdHky9dhFfT2vnr2,0,10,0,0,0,0,0,on-site
qYjISqtrrF5Etyy6ufLg,LE FIVE Paris 18,canceled,captain,,48.8978522&2.3700234,2023-08-11T18:00:00.000Z,60,14,,public,true,Chill,3,vQZmIv4IM3cPqh4UyJZxEgLFaU13,8,10,0,0,0,0,0,on-site
PwZc9SviV1iv5N2Wkvhb,UrbanSoccer - Lille Bondues,published,captain,,50.6913774&3.0860264,2023-08-11T19:30:00.000Z,60,8,,public,false,Détente,3,EDdywQ3E1LdFwznQk8nI7KAb9TD2,7,10,0,0,0,0,0,on-site
Uqy1MGAStGK8AapEqxBE,LE FIVE Paris 18,canceled,captain,,48.8978522&2.3700234,2023-08-11T20:30:00.000Z,60,10,,public,true,Détente,3,Hj3IHCHv8hfr0LW4RyTVrr6b9V43,2,10,0,0,0,0,0,on-site
f8GpnxqvhhCosMFVcZfN,Stade Gaston Frémont,canceled,captain,,48.9824506&2.1978892,2023-08-12T08:00:00.000Z,90,,,public,false,Détente,2,XSTjvwdxSdbGfPMLolJTdXDIS532,7,14,0,0,0,0,0,on-site
9sKPVst7kAK3CDBM9LgB,UrbanSoccer - Asnières,canceled,captain,,48.92193049999999&2.3068073,2023-08-12T12:00:00.000Z,60,,,public,true,Détente,2,dRjds43XHxh1aOqDv4xtRSwoyWo2,9,10,0,0,0,0,0,on-site
Lttv7I3cTpnaBAMJxu2w,Stadium Thiais,published,pro,,48.7511024&2.3713455,2023-08-12T17:00:00.000Z,60,10,,public,false,,,W3tiH1MM78QLWdHky9dhFfT2vnr2,1,10,0,0,0,0,0,on-site
sju8SuUsaShX6MIdHtGf,UrbanSoccer Evry,canceled,captain,,48.6286806&2.4066436,2023-08-12T17:00:00.000Z,60,10,,public,false,Détente,,nUZUW578xycIdUBtuYrZWxYufV82,7,10,0,0,0,0,0,on-site
WjZPufNLdVfqMbxC4MjU,GOPARK INTERIEUR - Paintball et trampolines parc,played,captain,,49.045624&2.0799886,2023-08-13T08:00:00.000Z,90,11,,public,false,Compétition,3,8qJTIc48U6SxBv1rEUfVlsiVcT03,10,10,0,0,0,0,0,on-site
MUfTsGyZFqL0L4IZKRRo,UrbanSoccer - Toulouse Sept Deniers,canceled,captain,,43.6321552&1.411696,2023-08-13T17:00:00.000Z,60,9,,public,false,Détente,3,R7i6QyBIZQdWXcpxRGEOjvJj3rG3,4,10,0,0,0,0,0,on-site
h3W718BGZrW1ZTPoNBBi,UrbanSoccer - Toulouse Sept Deniers,canceled,captain,,43.6321552&1.411696,2023-08-13T17:00:00.000Z,60,9,,public,false,Détente,3,R7i6QyBIZQdWXcpxRGEOjvJj3rG3,4,10,0,0,0,0,0,on-site
Kv1UbxSBoj7ArWytJwZ3,GOPARK INTERIEUR - Paintball et trampolines parc,canceled,captain,,49.045624&2.0799886,2023-08-13T17:30:00.000Z,90,15,,public,false,Détente,2,ijtTKzu4TSaLOuzX21SFGYllUJp1,9,10,0,0,0,0,0,on-site
7BEOxLfSvT5R6v2rxidj,Stadium Thiais,published,pro,,48.7511024&2.3713455,2023-08-13T18:00:00.000Z,90,12,,public,false,,,W3tiH1MM78QLWdHky9dhFfT2vnr2,0,10,0,0,0,0,0,on-site
fbmzluc8HlnXyxTdrT28,SOCCER CENTER,published,captain,,43.5462821&5.3653171,2023-08-14T17:00:00.000Z,60,9,,public,false,Détente,3,uAEut48qBDUb9yI8BZY79qCquMq1,0,10,0,0,0,0,0,on-site
hQk5l5IdIu9kWfRiw01h,LE FIVE Paris 18,canceled,captain,,48.8978522&2.3700234,2023-08-14T17:20:00.000Z,60,10,,public,true,,4,C3DBgPb9MEYgQQ5kqFyhvNGYF0r2,1,10,0,0,0,0,0,on-site
0dc0olYSkXmqi25jaUMd,UrbanSoccer - Quai d'Ivry,draft,captain,,48.8199836&2.3936285,2023-08-14T18:00:00.000Z,60,,,public,false,,,c2UTLqJyb4MstTpeNzqyB2vYp9C2,0,0,0,0,0,0,0,on-site
8OvlUuDE5MJABGVr2kPq,Kaiser Park,canceled,captain,,49.0175545&2.1775301,2023-08-14T18:00:00.000Z,90,15,,public,false,Détente,2,7bqFtjVPRUZEe3DuMVHAEuouB5a2,10,10,0,0,0,0,0,on-site
G0tzL7tGXy0eebfELbbI,UrbanSoccer - Quai d'Ivry,canceled,captain,,48.8199836&2.3936285,2023-08-14T18:00:00.000Z,60,,,public,true,Détente,3,c2UTLqJyb4MstTpeNzqyB2vYp9C2,7,10,0,0,0,0,0,on-site
hERIuzh5vKXT5MGRwQC4,Blue Star Island,published,pro,,36.5761891&-94.8894016,2023-08-14T18:00:00.000Z,60,23,,public,false,,,f2LrY7SAV3U1V9tUVAZfiMxA3uu1,0,10,0,0,0,0,0,on-site
yh8C2xabLbzOWyiHfV58,Stadium Thiais,hidden,pro,,48.7511024&2.3713455,2023-08-14T18:00:00.000Z,90,12,,public,false,,,W3tiH1MM78QLWdHky9dhFfT2vnr2,0,10,0,0,0,0,0,on-site
